atom_count,case_id,certificate_bytes,checker_kernel_ms,claim,coefficient_sum_bits,digest_match,generation_ms,max_coefficient_bits,oracle_calls,repetition,strict_margin,trust_level
3,timing_shortest_L400_p3_unsupported,19339,54.059704,nonnegative_weight_unsupported,2,True,106.825018,1,3,27,1/3,P1_FULLY_CHECKABLE
3,timing_shortest_L400_p3_unsupported,19339,53.482509,nonnegative_weight_unsupported,2,True,104.34592,1,3,28,1/3,P1_FULLY_CHECKABLE
3,timing_shortest_L400_p3_unsupported,19339,57.23156,nonnegative_weight_unsupported,2,True,108.60178,1,3,29,1/3,P1_FULLY_CHECKABLE
3,timing_shortest_L400_p3_unsupported,19339,54.374059,nonnegative_weight_unsupported,2,True,109.553265,1,3,30,1/3,P1_FULLY_CHECKABLE
4,timing_shortest_L400_p4_unsupported,23934,72.962847,nonnegative_weight_unsupported,3,True,176.00063,1,4,1,1/4,P1_FULLY_CHECKABLE
4,timing_shortest_L400_p4_unsupported,23934,73.921573,nonnegative_weight_unsupported,3,True,173.375993,1,4,2,1/4,P1_FULLY_CHECKABLE
4,timing_shortest_L400_p4_unsupported,23934,79.406044,nonnegative_weight_unsupported,3,True,173.783574,1,4,3,1/4,P1_FULLY_CHECKABLE
4,timing_shortest_L400_p4_unsupported,23934,75.390342,nonnegative_weight_unsupported,3,True,177.42639,1,4,4,1/4,P1_FULLY_CHECKABLE
4,timing_shortest_L400_p4_unsupported,23934,85.777813,nonnegative_weight_unsupported,3,True,177.801041,1,4,5,1/4,P1_FULLY_CHECKABLE
4,timing_shortest_L400_p4_unsupported,23934,74.837595,nonnegative_weight_unsupported,3,True,191.479842,1,4,6,1/4,P1_FULLY_CHECKABLE
4,timing_shortest_L400_p4_unsupported,23934,76.728293,nonnegative_weight_unsupported,3,True,247.170586,1,4,7,1/4,P1_FULLY_CHECKABLE
4,timing_shortest_L400_p4_unsupported,23934,76.194242,nonnegative_weight_unsupported,3,True,180.415808,1,4,8,1/4,P1_FULLY_CHECKABLE
4,timing_shortest_L400_p4_unsupported,23934,72.445341,nonnegative_weight_unsupported,3,True,187.668833,1,4,9,1/4,P1_FULLY_CHECKABLE
